"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Pesquisa de artigos no Blog do Agi","0","0","Pesquisar artigo com termo inexistente","0"
"0","","0","Pesquisa de artigos no Blog do Agi","1","0","Pesquisar artigo com termo válido","0"
